0.12 	 -0.04 	 0.02 	 0.50 	 -0.27 	 -8.62 
0.12 	 -0.03 	 0.02 	 0.43 	 -0.27 	 -8.57 
0.13 	 -0.02 	 0.04 	 0.43 	 -0.24 	 -8.67 
0.12 	 -0.00 	 -0.01 	 0.44 	 -0.30 	 -8.65 
0.12 	 -0.01 	 0.04 	 0.52 	 -0.34 	 -8.61 
0.12 	 -0.04 	 -0.05 	 0.49 	 -0.22 	 -8.68 
0.13 	 -0.03 	 0.03 	 0.48 	 -0.35 	 -8.60 
0.13 	 -0.01 	 0.03 	 0.51 	 -0.24 	 -8.61 
0.13 	 -0.02 	 -0.04 	 0.51 	 -0.24 	 -8.46 
0.13 	 -0.05 	 0.03 	 0.48 	 -0.32 	 -8.55 
0.12 	 -0.04 	 -0.04 	 0.48 	 -0.29 	 -8.57 
0.12 	 -0.00 	 -0.01 	 0.52 	 -0.29 	 -8.60 
0.13 	 -0.01 	 -0.04 	 0.49 	 -0.30 	 -8.61 
0.12 	 -0.03 	 -0.02 	 0.52 	 -0.27 	 -8.62 
0.12 	 -0.00 	 0.03 	 0.49 	 -0.27 	 -8.65 
